"id","label","denouncer","participants","ministers"
"E0001","Congregation at grangia of Anselmus de Perrino","P0057","P0058#P0061#P0066#P0067#P0069#P0070#P0072","P0063#P0064"
"E0002","Congregation at the house of Petrus Perrini","P0072","P0070#P0066#P0058#P0061#P0065","P0063#P0064"
"E0003","Congregation at the house of Palmeronus","P0159","P0051#P0159#P0040#P0162#P0042#P0163#P0164","P0160"
"E0004","Congregation at the house of the de Combis","P0053","P0184#P0185#P0053","P0183"
"E0005","Congregation at the house of Michael Richaudi","P0053","P0053#P0187#P0188#P0189","P0186"
"E0006","Congregation at the house of Petrus Balbi iunior","P0053","P0053#P0191#P0192#P0193#P0194","P0190"
"E0007","Congregation at the house of Amedeus de Conba Varino","P0053","P0053#P0195#P0198#P0199#P0200","P0183"
"E0008","Congregation at the house of Stephanus Vet","P0053","P0053#P0196#P0201#P0202#P0203#P0204#P0205","P0183"
"E0009","Congregation at the house of Iohannes de Castaygno","P0053","P0053#P0207#P0116","P0206"
"E0010","Congregation at grangia of Anselmus de Perrino","P0072","P0070#P0066#P0058#P0061#P0065","P0063#P0064"
"E0011","Congregation at the house of Villelmetus Domenicus","P0053","P0053#P0094#P0208#P0209#G0019","P0183"
"E0012","Congregation at the house of Bernardus de Rosseto","P0053","P0053#P0041#P0211#P0212#P0040#P0042#P0213","P0210"
"E0013","Congregation at the house of Petrus Rupphini","P0053","P0055","P0206"
"E0014","Congregation at the house of Vietus de Mondino","P0053","P0053#P0214#P0215#P0216#P0217#P0218#P0219#P0220","P0206"
"E0015","Congregation at the house of Iohannes Martini","P0053","P0053#P0113#P0114#P0116#P0115#P0207#P0222#P0112","P0206"
"E0016","Congregation at the house of Villelmetus Domenicus","P0053","P0053#P0051#P0105#P0094","P0206"
"E0017","Congregation at the house of Iohannes de Boyssono","P0053","P0053#P0407","P0183"
"E0018","Congregation at the house of Iohannes Mulini","P0053","P0053#P0224#P0225#P0226#P0227#P0228","P0206"
"E0019","Congregation at the house of Merinetus Alberia","P0053","P0053#P0235","P0186"
"E0020","Congregation at the house of Vincencius","P0196","P0196#P0246","P0183"
"E0021","Congregation at the house of Marguerita Borsseta","P0196","P0196#P0229#P0230#P0247#P0040#P0105#P0248","P0183"
"E0022","Congregation at the house of Iohannes Torenchi","P0196","P0196#P0249#P0040#P0105#P0051#P0250#P0251","P0183"
"E0023","Congregation at the house of Marguerita Borsseta","P0041","P0229#P0041#P0230#P0247#P0290#P0256#P0257","P0206"
"E0024","Congregation at the house of Bernardus de Rosseto","P0041","P0041#P0040#P0042#P0229#P0247#P0230#P0105","P0206"
"E0025","Congregation at the house of Bernardus de Rosseto","P0041","P0041#P0259#P0260#P0261#P0105#P0229#P0230#P0247#P0040#G0023","P0206#P0183"
"E0026","Congregation at the house of Martinus, son of Villelmetus Dominici","P0208","P0208#P0266","P0183"
"E0027","Congregation at the house of Martinus, son of Villelmetus Dominici","P0208","P0208#P0105#P0051#P0257#P0268","P0206"
"E0028","Congregation at the house of Martinus, son of Villelmetus Dominici","P0208","P0208#P0105#P0051","P0183"
"E0029","Congregation at the house of Iohannes Mulini de Sala","P0208","P0208#P0224#P0226#P0225#P0227#P0269","P0206"
"E0030","Congregation at the house of Petrus Burgi","P0208","P0208#P0156#P0051#P0271","P0206#P0270"
"E0031","Congregation at the house of Andreas de Maleysart","P0208","P0208#P0151#P0150","P0272"
"E0032","Congregation at the house of Iacobus Bernardi","P0208","P0208#P0130","P0183"
"E0033","Congregation at the house of Nicoletus Felicatus","P0208","P0208#P0274#P0275#P0224","P0206"
"E0034","Congregation at the house of Bonetus de Girardo","P0208","P0208#P0276#P0277","P0206"
"E0035","Congregation at the house of Petrus Balbi","P0208","P0208#P0191#P0192","P0206"
"E0036","Congregation at the house of Petrus de Rosseto","P0051","P0051#P0040#P0042#P0261","P0183"
"E0037","Congregation at the house of Iohannes Mulini","P0051","P0051#P0224#P0226#P0225#P0227#P0040","P0183"
"E0038","Congregation at the house of Villelmetus Domenicus","P0051","P0051#P0208#P0040","P0206"
"E0039","Congregation at the house of Iohannes Mulini","P0051","P0051#P0224#P0105#G0025","P0206"
"E0040","Congregation at the house of Villelmetus Domenicus","P0051","P0051#P0053#P0208","P0206"
"E0041","Congregation at the tectum of Petrus de Rosseto","P0051","P0051#P0040","P0206"
"E0042","Congregation at the house of Vietus de Mondino","P0051","P0051#P0214#P0215#P0216#P0217","P0206"
"E0043","Congregation at the house of Iohannes de Facio Ferrandi","P0051","P0051#P0105#P0220#G0026","P0206"
"E0044","Congregation at the house of Thomas","P0051","P0051#P0222#P0282#G0027","P0206#P0270"
"E0045","Congregation at the house of Iohannes de Castaygno","P0051","P0051#P0116","P0206"
"E0046","Congregation at the house of Mursa","P0224","P0224#P0285","P0183"
"E0047","Congregation at the house of Iohannes Mulini","P0224","P0224#P0208#P0053#P0226#P0228#P0269#P0105#P0040","P0206#P0270"
"E0048","Congregation at the house of Iohannes Mulini","P0224","P0224#P0228#P0269#P0105#P0053","P0183"
"E0049","Congregation at the house of Villelmetus Domenicus","P0224","P0224#P0094","P0183"
"E0050","Congregation at the house of Iohannes de Facio Ferrandi","P0224","P0224#P0220#P0287#P0361","P0183"
"E0051","Congregation at the house of Iohannes Mulini","P0224","P0224","P0272"
"E0052","Congregation at the house of Iohannes de Castaygno","P0055","P0055#P0116#P0115#P0207#P0291","P0272"
"E0053","Congregation at the house of Petrus Rupphini","P0055","P0055#P0294#P0295#P0296","P0206#P0293"
"E0054","Congregation at the house of Petrus Rupphini","P0055","P0055#P0051#P0134#P0298","P0183"
"E0055","Congregation at the house of Vietus de Mondino","P0055","P0055#P0215#P0214#P0216#P0217#P0218#P0219","P0206"
"E0056","Congregation at the house of Villelminus de Oddo","P0055","P0055#P0105#P0301#P0303#P0042","P0206#P0270"
"E0057","Congregation at the house of Petrus Burgi","P0055","P0055#P0156#P0155#P0157#P0304#P0305#P0307","P0183"
"E0058","Congregation at the house of Iacobus Bernardi","P0274","P0274#P0130#P0208","P0183"
"E0059","Congregation at the house of Martinus, son of Villelmetus Dominici","P0274","P0274#P0208#P0053","P0183"
"E0060","Congregation at the house of Nicoletus Felicatus","P0274","P0274#P0208#P0053#P0224#P0275","P0206#P0270"
"E0061","Congregation at the house of Iacobus Bernardi","P0274","P0274#P0130#P0273","P0206"
"E0062","Congregation at the house of Petrus Burgi","P0156","P0156#P0155#P0105#P0317#P0307","P0206#P0300"
"E0063","Congregation at the house of Petrus Burgi","P0156","P0156#P0155#P0157#P0105#P0304#P0318#P0319#P0232","P0206#P0270"
"E0064","Congregation at the house of Petrus Burgi","P0156","P0156#P0155#P0157#P0322#P0323#P0317#P0307#P0055#P0321","P0183#P0320"
"E0065","Congregation at the house of Petrus Burgi","P0156","P0156#P0304#P0208","P0299"
"E0066","Congregation at the house of Martinus, son of Villelmetus Dominici","P0156","P0156#P0208#P0318#P0248#P0322#P0273","P0206"
