"id1","id2","type"
"P0003","P0004","son"
"P0006","P0005","wife"
"P0016","P0015","lover"
"P0018","P0017","wife"
"P0020","P0054","daughter"
"P0021","P0020","sister"
"P0022","P0020","wife"
"P0029","P0028","brother"
"P0032","P0372","brother"
"P0037","P0036","wife"
"P0039","P0261","wife"
"P0040","P0162","sister"
"P0040","P0042","sister"
"P0041","P0040","brother"
"P0041","P0042","sister"
"P0041","P0162","sister"
"P0041","P0211","mother"
"P0042","P0211","mother"
"P0043","P0318","son"
"P0043","P0328","daughter"
"P0043","P0330","son"
"P0043","P0385","daughter"
"P0045","P0044","daughter"
"P0046","P0044","wife"
"P0048","P0047","daughter"
"P0051","P0165","mother"
"P0053","P0238","brother"
"P0055","P0056","sister"
"P0055","P0140","sister"
"P0055","P0294","mother"
"P0055","P0298","wife"
"P0058","P0072","sister"
"P0059","P0058","wife"
"P0060","P0066","son"
"P0062","P0061","wife"
"P0065","P0069","daughter-in-law"
"P0068","P0067","son"
"P0071","P0070","wife"
"P0073","P0072","wife"
"P0081","P0178","brother"
"P0082","P0409","brother"
"P0083","P0174","brother"
"P0084","P0083","son"
"P0086","P0085","son"
"P0088","P0097","wife"
"P0092","P0091","wife"
"P0094","P0208","son"
"P0094","P0311","son"
"P0097","P0122","sister"
"P0099","P0098","daughter"
"P0105","P0303","mother"
"P0105","P0329","brother"
"P0113","P0114","wife"
"P0115","P0207","son"
"P0116","P0115","wife"
"P0116","P0207","son"
"P0116","P0395","daughter"
"P0119","P0159","daughter"
"P0124","P0307","granddaughter"
"P0124","P0384","wife"
"P0128","P0127","wife"
"P0130","P0209","brother"
"P0130","P0273","wife"
"P0134","P0370","brother"
"P0135","P0136","sister"
"P0137","P0136","wife"
"P0139","P0138","wife"
"P0143","P0142","wife"
"P0145","P0144","wife"
"P0149","P0180","wife"
"P0151","P0150","wife"
"P0151","P0295","son"
"P0154","P0234","sister"
"P0154","P0242","wife"
"P0154","P0339","mother"
"P0155","P0322","wife"
"P0156","P0155","brother"
"P0156","P0157","brother"
"P0156","P0304","wife"
"P0157","P0155","brother"
"P0157","P0323","wife"
"P0157","P0324","brother"
"P0163","P0164","wife"
"P0167","P0166","wife"
"P0181","P0248","brother"
"P0181","P0326","mother"
"P0184","P0185","cognate"
"P0185","P0184","cognate"
"P0187","P0188","son"
"P0187","P0189","wife"
"P0189","P0188","son"
"P0191","P0192","wife"
"P0191","P0194","daughter"
"P0191","P0266","sister"
"P0192","P0193","sister"
"P0195","P0198","brother"
"P0196","G0021","kinperson"
"P0196","P0201","brother"
"P0196","P0202","brother"
"P0197","P0196","son"
"P0197","P0202","son"
"P0201","P0204","wife"
"P0202","P0205","wife"
"P0203","P0196","son"
"P0203","P0201","son"
"P0203","P0202","son"
"P0206","G0049","associate"
"P0208","P0266","wife"
"P0208","P0390","wife"
"P0210","P0206","associate"
"P0213","P0041","brother"
"P0214","P0215","brother"
"P0214","P0216","wife"
"P0214","P0218","sister"
"P0214","P0219","sister"
"P0215","P0214","brother"
"P0215","P0217","wife"
"P0215","P0218","sister"
"P0215","P0219","sister"
"P0220","P0287","brother"
"P0220","P0361","wife"
"P0220","P0362","sister"
"P0220","P0363","sister"
"P0222","P0282","brother"
"P0223","P0222","son"
"P0224","P0226","kinperson"
"P0224","P0225","wife"
"P0224","P0289","brother"
"P0226","P0224","kinperson"
"P0226","P0225","kinperson"
"P0226","P0249","kinperson"
"P0226","P0227","wife"
"P0228","P0269","daughter"
"P0229","P0230","son"
"P0229","P0247","daughter"
"P0229","P0254","daughter"
"P0229","P0255","daughter"
"P0230","P0280","wife"
"P0231","P0232","wife"
"P0233","P0348","wife"
"P0233","P0393","wife"
"P0234","P0339","mother"
"P0241","P0331","wife"
"P0242","P0343","sister"
"P0245","P0220","son"
"P0248","P0326","mother"
"P0249","P0208","kinperson"
"P0249","P0368","wife"
"P0250","G0022","cognate"
"P0251","G0022","cognate"
"P0256","P0257","brother"
"P0259","P0260","brother"
"P0259","P0281","mother"
"P0267","P0266","daughter"
"P0270","P0206","associate"
"P0270","P0336","associate"
"P0274","P0275","wife"
"P0276","P0277","wife"
"P0278","P0279","son"
"P0286","P0285","wife"
"P0292","P0291","wife"
"P0293","P0206","associate"
"P0296","P0151","kinperson"
"P0300","P0299","associate"
"P0300","P0183","associate"
"P0302","P0301","son"
"P0306","P0305","brother"
"P0307","P0308","mother"
"P0311","P0208","brother"
"P0312","P0183","associate"
"P0318","P0319","son"
"P0320","P0183","associate"
"P0329","P0303","mother"
"P0341","P0340","son"
"P0341","P0342","wife"
"P0346","P0371","brother"
"P0346","P0379","wife"
"P0347","P0346","son"
"P0350","P0349","son"
"P0353","P0352","son"
"P0355","P0360","brother"
"P0355","P0398","wife"
"P0368","P0390","sister"
"P0375","P0374","daughter"
"P0378","P0191","kinperson"
"P0380","P0234","wife"
"P0381","P0355","son"
"P0392","P0315","associate"
"P0399","P0400","wife"
"P0401","P0388","kinperson"
"P0405","P0105","kinperson"
