"id","label","sex","dead","occupation_type","origin_or_residence","waldensian_master"
"P0002","Villelmus","m",0,"churchperson","Coazze",0
"P0003","Iohannes de Villelmina","m",0,NA,"Coazze",0
"P0004","(filius Iohannis de Villelmina) de Villelmina","m",0,NA,"Coazze",0
"P0005","Rosa Put","f",0,NA,"Coazze",0
"P0006","Stephanus Put","m",0,NA,"Coazze",0
"P0007","Iustus Garola","m",0,NA,"Coazze",0
"P0008","Iohannes de Bergerii","m",0,NA,NA,0
"P0009","Rollandus Put","m",0,NA,NA,0
"P0010","Iohannes de Brandolo","m",0,NA,"Brandolum",0
"P0013","Nicolaus","m",0,"churchperson","Valgioie",0
"P0014","Iohannes de la Mota","m",0,NA,"Valgioie",0
"P0015","Iohanna","f",0,NA,"Valgioie",0
"P0016","Micheletus de Colonbo","m",0,NA,NA,0
"P0017","Peroneta","f",0,NA,"Lanslevillard",0
"P0018","Franciscus de Petra","m",0,NA,NA,0
"P0019","Bruna de Valle Iudea","f",0,NA,"Paschero",0
"P0020","Marguerita","f",0,NA,"Giaveno",0
"P0021","Martinus de Perreta","m",0,NA,"Giaveno",0
"P0022","Iohannes Rupphini","m",0,NA,"Giaveno",0
"P0023","Iohanna Ruppha","f",0,NA,"Paschero",0
"P0024","Michael de Catelono","m",0,NA,NA,0
"P0025","(homo de Buffa)","m",0,NA,"Buffa",0
"P0026","(mulier de Buffa)","f",0,NA,"Buffa",0
"P0027","(quidam de Lecio) de Lecio","m",0,NA,"Paschero",0
"P0028","Bonerius Mulinerii","m",0,NA,NA,0
"P0029","Hugo Mulinerii","m",0,NA,NA,0
"P0031","Iohannes de Briqueyrasio","m",0,"churchperson","Moncenisio",0
"P0032","Andreas Sacherii","m",0,NA,"Giaveno",0
"P0033","Nicola","f",0,NA,"Giaveno",0
"P0034","Iohanna Pontera","f",0,NA,"Giaveno",0
"P0035","Michael","m",0,"churchperson","Giaveno",0
"P0036","Agnessona Domenii","f",1,NA,"Buffa",0
"P0037","Vincentius Carbonerii","m",0,NA,"Buffa",0
"P0038","Petrus Cominus","m",0,NA,NA,0
"P0039","Brunetus de Rosseto","m",0,NA,"Buffa",0
"P0040","Petrus de Rosseto","m",0,NA,"Buffa",0
"P0041","Bernardus de Rosseto","m",0,NA,"Buffa",0
"P0042","Agnessona de Rosseto","f",0,NA,"Buffa",0
"P0043","Iohannes de Bonaudo","m",0,NA,"Buffa",0
"P0044","Reymonda","f",0,NA,"Giaveno",0
"P0045","Aymonetus de Bonaudo","m",0,NA,NA,0
"P0046","Iohannes Beç","m",0,NA,NA,0
"P0047","Agnessona","f",0,NA,"Giaveno",0
"P0048","Petrus Germane","m",0,NA,NA,0
"P0049","Bonissetus de Covaciis","m",0,"manual worker","Giaveno",0
"P0051","Palmeronus Goytrati","m",0,"dissident minister","Buffa",0
"P0053","Iohannes Gauterii","m",0,"dissident minister","Giaveno",0
"P0054","(filia Marguerite Perrete)","f",0,NA,"Giaveno",0
"P0055","Petrus Rupphini","m",0,NA,"Giaveno",0
"P0056","(soror Petri Rupphini) Rupphini","f",0,NA,"Giaveno",0
"P0057","Petrus Truchy","m",0,NA,"Folatone",0
"P0058","Bellona","f",0,NA,"Coazze",0
"P0059","Iacobus Mocheti","m",0,NA,"Coazze",0
"P0060","Petrus Mocheti","m",0,NA,"Coazze",0
"P0061","Matheuda","f",0,NA,"Coazze",0
"P0062","Hugo de Coazze","m",1,NA,"Coazze",0
"P0063","(homo ductus ad Follatonum)","m",0,NA,NA,0
"P0064","(homo ductus ad Follatonum)","m",0,NA,NA,0
"P0065","Anselmus de Perrino","m",0,NA,"Folatone",0
"P0066","Peronetus Mocheti","m",0,NA,"Coazze",0
"P0067","Boxius Moscheti","m",0,NA,"Coazze",0
